cell,nuclide,score,mean,std. dev.
10,Li6,"(n,Xt)",0.9918062915728093,0.0010234257979500152
10,Li7,"(n,Xt)",0.08713011478728327,0.0001140053138875307
6,Li6,"(n,Xt)",0.07719086297532907,0.00020832537718280965
6,Li7,"(n,Xt)",0.019239218040705827,2.4454847842633977e-05
