mesh 1,mesh 1,mesh 1,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
x,y,z,,,,,,,
15,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
15,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
15,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
15,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
16,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
16,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
16,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
16,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
16,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
17,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
17,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
17,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
17,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
17,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
18,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
18,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
18,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
18,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
18,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
19,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
19,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
19,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
19,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
19,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
20,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
20,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
20,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
20,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
20,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
21,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
21,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
21,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
21,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
21,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
22,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
22,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
22,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
22,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
22,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
23,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
23,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
