cell,nuclide,score,mean,std. dev.
10,Li6,"(n,Xt)",0.965512940055036,0.010792978185196221
10,Li7,"(n,Xt)",0.08738786014555064,0.0014074319674112165
6,Li6,"(n,Xt)",0.07519122336797045,0.0015491593694529108
6,Li7,"(n,Xt)",0.01898864930207035,0.00017460339127467218
