mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
30,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
30,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
30,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
31,1,1,1.0,10000000.0,neutron,total,flux,5.114431074145425e-07,5.114431074145425e-07
31,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
31,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
32,1,1,1.0,10000000.0,neutron,total,flux,3.197821467630865e-07,3.197821467630865e-07
32,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
32,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
33,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
33,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
33,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
34,1,1,1.0,10000000.0,neutron,total,flux,1.6131353063096517e-07,1.6131353063096517e-07
34,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
34,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
35,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
35,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
35,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
36,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
36,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
36,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
37,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
37,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
37,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
38,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
38,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
