cell,nuclide,score,mean,std. dev.
10,Li6,"(n,Xt)",0.9925230333170456,0.00011806475993728178
10,Li7,"(n,Xt)",0.086982502909671,1.823150199887068e-05
6,Li6,"(n,Xt)",0.0771697694688844,1.8382834602754696e-05
6,Li7,"(n,Xt)",0.01927131994085255,2.549235682301109e-06
