,mesh 2 x,mesh 2 y,mesh 2 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
0,1,1,1,1.0,10000000.0,neutron,total,flux,0.047059963483687,0.0001773472435523452
1,1,1,1,10000000.0,14000000.0,neutron,total,flux,0.0008354732970676147,2.888068687898992e-05
2,1,1,1,14000000.0,20000000.0,neutron,total,flux,0.021305627212964338,8.456963296868901e-05
3,2,1,1,1.0,10000000.0,neutron,total,flux,0.04778864682121016,0.0002722231086818991
4,2,1,1,10000000.0,14000000.0,neutron,total,flux,0.0008644052226972835,2.926396799191401e-05
5,2,1,1,14000000.0,20000000.0,neutron,total,flux,0.020686553660199954,8.456209171554004e-05
6,3,1,1,1.0,10000000.0,neutron,total,flux,0.048182690056659414,0.00015344111118184857
7,3,1,1,10000000.0,14000000.0,neutron,total,flux,0.0008993598715581195,3.17242482559855e-05
8,3,1,1,14000000.0,20000000.0,neutron,total,flux,0.020108797916585264,8.28172895692971e-05
9,4,1,1,1.0,10000000.0,neutron,total,flux,0.04854474074801631,0.00018890471156549906
10,4,1,1,10000000.0,14000000.0,neutron,total,flux,0.0009069826338383756,3.0452375065557316e-05
11,4,1,1,14000000.0,20000000.0,neutron,total,flux,0.01954911703694879,8.085333583489626e-05
12,5,1,1,1.0,10000000.0,neutron,total,flux,0.04907292137860385,0.00025967287108869815
13,5,1,1,10000000.0,14000000.0,neutron,total,flux,0.0009180841534733953,3.896288908936294e-05
14,5,1,1,14000000.0,20000000.0,neutron,total,flux,0.018989492973665333,7.815369921913898e-05
15,6,1,1,1.0,10000000.0,neutron,total,flux,0.04965899884076365,0.00027185522487684213
16,6,1,1,10000000.0,14000000.0,neutron,total,flux,0.0009773126771012344,2.8658474743137647e-05
17,6,1,1,14000000.0,20000000.0,neutron,total,flux,0.0184905348300372,7.724855689891479e-05
18,7,1,1,1.0,10000000.0,neutron,total,flux,0.05040986428915921,0.0002738699298339021
19,7,1,1,10000000.0,14000000.0,neutron,total,flux,0.0010368385455267373,3.511181550969561e-05
20,7,1,1,14000000.0,20000000.0,neutron,total,flux,0.01800355444155213,7.241820860069197e-05
21,8,1,1,1.0,10000000.0,neutron,total,flux,0.05122804368869173,0.00021947669021168145
22,8,1,1,10000000.0,14000000.0,neutron,total,flux,0.0010557090817611009,2.8514825866160552e-05
23,8,1,1,14000000.0,20000000.0,neutron,total,flux,0.01754571920782044,6.729281539740273e-05
24,9,1,1,1.0,10000000.0,neutron,total,flux,0.05254235640040733,0.00019677471179409226
25,9,1,1,10000000.0,14000000.0,neutron,total,flux,0.0011103391813186707,2.5764357558792286e-05
26,9,1,1,14000000.0,20000000.0,neutron,total,flux,0.017078451501552454,7.371179145347295e-05
27,10,1,1,1.0,10000000.0,neutron,total,flux,0.05894397024503704,0.0002154554764551673
28,10,1,1,10000000.0,14000000.0,neutron,total,flux,0.001536530216003688,3.3049726185282895e-05
29,10,1,1,14000000.0,20000000.0,neutron,total,flux,0.015458205015059614,7.357376792885554e-05
30,11,1,1,1.0,10000000.0,neutron,total,flux,0.06621549241693483,0.00031644702686886003
31,11,1,1,10000000.0,14000000.0,neutron,total,flux,0.0027493572668553555,4.7270761808673496e-05
32,11,1,1,14000000.0,20000000.0,neutron,total,flux,0.012117965120536449,5.326587631024001e-05
33,12,1,1,1.0,10000000.0,neutron,total,flux,0.06934607397146901,0.0002601509231790159
34,12,1,1,10000000.0,14000000.0,neutron,total,flux,0.0029785331286530676,4.0440314503499814e-05
35,12,1,1,14000000.0,20000000.0,neutron,total,flux,0.00929315495823274,4.972484217048073e-05
36,13,1,1,1.0,10000000.0,neutron,total,flux,0.07285882160689987,0.0004423228179570574
37,13,1,1,10000000.0,14000000.0,neutron,total,flux,0.0028690342599409827,1.9687689403280438e-05
38,13,1,1,14000000.0,20000000.0,neutron,total,flux,0.0071197140998552205,5.570877819611534e-05
39,14,1,1,1.0,10000000.0,neutron,total,flux,0.07054656515335071,0.0005091305863862744
40,14,1,1,10000000.0,14000000.0,neutron,total,flux,0.0032911231198596924,3.801006863979275e-05
41,14,1,1,14000000.0,20000000.0,neutron,total,flux,0.005445341929996033,4.829628709922046e-05
42,15,1,1,1.0,10000000.0,neutron,total,flux,0.0659066697457312,0.00041958283542534777
43,15,1,1,10000000.0,14000000.0,neutron,total,flux,0.003459547177949636,3.268096869875079e-05
44,15,1,1,14000000.0,20000000.0,neutron,total,flux,0.004164623525815701,3.874248039829722e-05
45,16,1,1,1.0,10000000.0,neutron,total,flux,0.06143122679419707,0.0003092528675469695
46,16,1,1,10000000.0,14000000.0,neutron,total,flux,0.0033562405918016744,3.161726752805858e-05
47,16,1,1,14000000.0,20000000.0,neutron,total,flux,0.003200805667050892,3.485460224976486e-05
48,17,1,1,1.0,10000000.0,neutron,total,flux,0.05701258748160233,0.00032825012705584483
49,17,1,1,10000000.0,14000000.0,neutron,total,flux,0.003197126189083678,3.076446487400199e-05
50,17,1,1,14000000.0,20000000.0,neutron,total,flux,0.0024440375993580866,2.8396413294271382e-05
51,18,1,1,1.0,10000000.0,neutron,total,flux,0.05231149029286121,0.000272810918479952
52,18,1,1,10000000.0,14000000.0,neutron,total,flux,0.002944871417536009,3.918361898153969e-05
53,18,1,1,14000000.0,20000000.0,neutron,total,flux,0.00186250736697095,2.3828786692509766e-05
54,19,1,1,1.0,10000000.0,neutron,total,flux,0.048045589884298016,0.0003940728835074059
