mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
30,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
30,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
31,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
31,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
31,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
32,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
32,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
32,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
33,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
33,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
33,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
34,1,1,1.0,10000000.0,neutron,total,flux,2.848301121701563e-07,2.8483011217015635e-07
34,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
34,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
35,1,1,1.0,10000000.0,neutron,total,flux,6.024107421891003e-07,6.024107421891003e-07
35,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
35,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
36,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
36,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
36,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
37,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
37,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
37,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
38,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
38,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
38,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
39,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
39,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
39,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
40,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
40,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
40,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
41,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
41,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
41,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
42,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
42,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
42,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
43,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
43,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
43,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
44,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
44,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
44,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
45,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
45,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
45,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
46,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
46,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
46,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
47,1,1,1.0,10000000.0,neutron,total,flux,6.545394175400516e-07,6.545394175400516e-07
47,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
47,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
48,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
48,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
48,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
49,1,1,1.0,10000000.0,neutron,total,flux,4.965431130963154e-07,4.965431130963154e-07
49,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
49,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
50,1,1,1.0,10000000.0,neutron,total,flux,3.972000101871758e-07,3.972000101871758e-07
50,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
50,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
51,1,1,1.0,10000000.0,neutron,total,flux,4.666148308570629e-07,4.6661483085706284e-07
51,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
51,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
52,1,1,1.0,10000000.0,neutron,total,flux,7.895251466078096e-07,7.895251466078096e-07
52,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
52,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
53,1,1,1.0,10000000.0,neutron,total,flux,3.2224596310344124e-07,3.2224596310344124e-07
53,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
53,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
54,1,1,1.0,10000000.0,neutron,total,flux,8.012952382436859e-07,8.012952382436859e-07
54,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
54,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
55,1,1,1.0,10000000.0,neutron,total,flux,7.653783234975892e-07,7.347051546873056e-07
55,1,1,10000000.0,14000000.0,neutron,total,flux,7.904614115991458e-07,7.904614115991458e-07
55,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
56,1,1,1.0,10000000.0,neutron,total,flux,7.971890524582858e-07,7.971890524582856e-07
56,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
56,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
57,1,1,1.0,10000000.0,neutron,total,flux,1.0952174542510164e-06,7.302810806812496e-07
57,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
57,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
58,1,1,1.0,10000000.0,neutron,total,flux,8.872261311240362e-07,8.872261311240362e-07
58,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
58,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
59,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
59,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
59,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
60,1,1,1.0,10000000.0,neutron,total,flux,7.015058913546344e-07,7.015058913546344e-07
60,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
60,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
61,1,1,1.0,10000000.0,neutron,total,flux,2.544878093534101e-08,2.5448780935341007e-08
61,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
61,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
62,1,1,1.0,10000000.0,neutron,total,flux,7.712264995834395e-07,7.712264995834395e-07
62,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
62,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
63,1,1,1.0,10000000.0,neutron,total,flux,1.6701704897965694e-06,1.1256251581386411e-06
63,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
63,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
