,mesh 2 x,mesh 2 y,mesh 2 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
56,19,1,1,14000000.0,20000000.0,neutron,total,flux,0.0017485232420979275,1.3358868203341102e-05
57,20,1,1,1.0,10000000.0,neutron,total,flux,0.07787647094982472,0.0004919483762717905
58,20,1,1,10000000.0,14000000.0,neutron,total,flux,0.0011121310443704719,1.762994470036743e-05
59,20,1,1,14000000.0,20000000.0,neutron,total,flux,0.001305544623633302,6.214456270892554e-06
60,21,1,1,1.0,10000000.0,neutron,total,flux,0.06837781325297847,0.0003150396422316113
61,21,1,1,10000000.0,14000000.0,neutron,total,flux,0.0010825186070547975,2.5218202986948476e-05
62,21,1,1,14000000.0,20000000.0,neutron,total,flux,0.0009894072013649925,7.499224143277467e-06
63,22,1,1,1.0,10000000.0,neutron,total,flux,0.059799315836619106,0.0002126332749482329
64,22,1,1,10000000.0,14000000.0,neutron,total,flux,0.0010050117623220068,1.381327394733884e-05
65,22,1,1,14000000.0,20000000.0,neutron,total,flux,0.0007545162411278145,7.448999817784188e-06
66,23,1,1,1.0,10000000.0,neutron,total,flux,0.052499699405119005,0.00015580764911147176
67,23,1,1,10000000.0,14000000.0,neutron,total,flux,0.0009301001740129646,1.325371143563025e-05
68,23,1,1,14000000.0,20000000.0,neutron,total,flux,0.0005732513376219077,1.0343699750801263e-05
69,24,1,1,1.0,10000000.0,neutron,total,flux,0.04556271811826537,0.00018865936964294937
70,24,1,1,10000000.0,14000000.0,neutron,total,flux,0.0008340339047771337,2.0572821061498764e-05
71,24,1,1,14000000.0,20000000.0,neutron,total,flux,0.0004315968996977666,9.478574891903582e-06
72,25,1,1,1.0,10000000.0,neutron,total,flux,0.03963507839076784,0.00022760666817523285
73,25,1,1,10000000.0,14000000.0,neutron,total,flux,0.0007452004519811696,2.5255785329019413e-05
74,25,1,1,14000000.0,20000000.0,neutron,total,flux,0.0003269879138756127,8.513246567097224e-06
75,26,1,1,1.0,10000000.0,neutron,total,flux,0.03437721495643668,0.00018705222469438397
76,26,1,1,10000000.0,14000000.0,neutron,total,flux,0.0006492200588602344,2.0673632704657255e-05
77,26,1,1,14000000.0,20000000.0,neutron,total,flux,0.00024896118682038275,8.177092443641056e-06
78,27,1,1,1.0,10000000.0,neutron,total,flux,0.02969317790081763,0.00018088022105254258
79,27,1,1,10000000.0,14000000.0,neutron,total,flux,0.0005734307302352418,1.3592278823789767e-05
80,27,1,1,14000000.0,20000000.0,neutron,total,flux,0.00018894624260019176,6.887754475577064e-06
81,28,1,1,1.0,10000000.0,neutron,total,flux,0.02558921009481361,0.0001821400901071677
82,28,1,1,10000000.0,14000000.0,neutron,total,flux,0.0004862809894161952,7.1114162534988116e-06
83,28,1,1,14000000.0,20000000.0,neutron,total,flux,0.0001422597340019731,5.034735101437388e-06
84,29,1,1,1.0,10000000.0,neutron,total,flux,0.021796180892405058,0.00019183838431705903
85,29,1,1,10000000.0,14000000.0,neutron,total,flux,0.0004099415948186709,1.0608001298474253e-05
86,29,1,1,14000000.0,20000000.0,neutron,total,flux,0.00010822795658459613,3.6454058244114715e-06
87,30,1,1,1.0,10000000.0,neutron,total,flux,0.018706464234131245,0.00018531507645728606
88,30,1,1,10000000.0,14000000.0,neutron,total,flux,0.00035985412848865944,1.1196491362326308e-05
89,30,1,1,14000000.0,20000000.0,neutron,total,flux,8.310554842066526e-05,2.761207555954073e-06
90,31,1,1,1.0,10000000.0,neutron,total,flux,0.01614568930532219,0.00012659022724430388
91,31,1,1,10000000.0,14000000.0,neutron,total,flux,0.00031151795042041173,5.875333442048491e-06
92,31,1,1,14000000.0,20000000.0,neutron,total,flux,6.121419000302651e-05,2.8304473263492266e-06
93,32,1,1,1.0,10000000.0,neutron,total,flux,0.013769368123768833,9.652215189380422e-05
94,32,1,1,10000000.0,14000000.0,neutron,total,flux,0.0002847033446892105,1.0866847738116285e-05
95,32,1,1,14000000.0,20000000.0,neutron,total,flux,4.8462334686319096e-05,2.398022251903273e-06
96,33,1,1,1.0,10000000.0,neutron,total,flux,0.011731075644208017,0.00010812943375198471
97,33,1,1,10000000.0,14000000.0,neutron,total,flux,0.0002369532215622372,9.222447852326409e-06
98,33,1,1,14000000.0,20000000.0,neutron,total,flux,3.645007618419544e-05,2.4234368106666906e-06
99,34,1,1,1.0,10000000.0,neutron,total,flux,0.009948496738577098,7.705138533863655e-05
100,34,1,1,10000000.0,14000000.0,neutron,total,flux,0.00019903812212123707,6.401110892435476e-06
101,34,1,1,14000000.0,20000000.0,neutron,total,flux,2.837977617419162e-05,2.3306153455331465e-06
102,35,1,1,1.0,10000000.0,neutron,total,flux,0.008413029983753529,9.636242254223297e-05
103,35,1,1,10000000.0,14000000.0,neutron,total,flux,0.00016166013360226136,6.206995353678232e-06
104,35,1,1,14000000.0,20000000.0,neutron,total,flux,2.2252536722351103e-05,1.8938555152658702e-06
105,36,1,1,1.0,10000000.0,neutron,total,flux,0.007321321419272815,0.00010687439280181738
106,36,1,1,10000000.0,14000000.0,neutron,total,flux,0.00013483329251901723,5.9306988062356724e-06
107,36,1,1,14000000.0,20000000.0,neutron,total,flux,1.706140838460517e-05,1.899242128080207e-06
108,37,1,1,1.0,10000000.0,neutron,total,flux,0.006194934512023071,9.753030949623122e-05
109,37,1,1,10000000.0,14000000.0,neutron,total,flux,0.0001091276527611461,4.389270703981415e-06
110,37,1,1,14000000.0,20000000.0,neutron,total,flux,1.3300989404927985e-05,1.576122292527505e-06
111,38,1,1,1.0,10000000.0,neutron,total,flux,0.005179921673676752,8.181430946253666e-05
112,38,1,1,10000000.0,14000000.0,neutron,total,flux,9.491631529516838e-05,6.075072626884373e-06
113,38,1,1,14000000.0,20000000.0,neutron,total,flux,9.904451874932673e-06,1.1830153892437172e-06
114,39,1,1,1.0,10000000.0,neutron,total,flux,0.00438044686408168,6.802605546731297e-05
115,39,1,1,10000000.0,14000000.0,neutron,total,flux,7.445966530238869e-05,7.55784618438152e-06
116,39,1,1,14000000.0,20000000.0,neutron,total,flux,8.019895473601282e-06,1.105460423971311e-06
117,40,1,1,1.0,10000000.0,neutron,total,flux,0.00360495484739816,7.18674908896851e-05
118,40,1,1,10000000.0,14000000.0,neutron,total,flux,6.446330659606487e-05,6.498878666578703e-06
119,40,1,1,14000000.0,20000000.0,neutron,total,flux,6.386869397090535e-06,9.237534574469671e-07
120,41,1,1,1.0,10000000.0,neutron,total,flux,0.0030524732227861654,6.3879004702576e-05
121,41,1,1,10000000.0,14000000.0,neutron,total,flux,5.2820407170120875e-05,4.218020826750222e-06
122,41,1,1,14000000.0,20000000.0,neutron,total,flux,3.803819723875765e-06,9.748522766996497e-07
123,42,1,1,1.0,10000000.0,neutron,total,flux,0.0025879290527795413,5.681524588035798e-05
124,42,1,1,10000000.0,14000000.0,neutron,total,flux,4.283726561793999e-05,3.620563793384667e-06
125,42,1,1,14000000.0,20000000.0,neutron,total,flux,2.213949489943781e-06,6.552671700078033e-07
126,43,1,1,1.0,10000000.0,neutron,total,flux,0.0021680378033399014,3.638432849633846e-05
127,43,1,1,10000000.0,14000000.0,neutron,total,flux,3.557717054118233e-05,3.5084336546089507e-06
128,43,1,1,14000000.0,20000000.0,neutron,total,flux,1.4979675254314823e-06,6.387444538563234e-07
129,44,1,1,1.0,10000000.0,neutron,total,flux,0.0018049854519072723,3.9829144276566084e-05
130,44,1,1,10000000.0,14000000.0,neutron,total,flux,3.104467123498185e-05,2.7379439708743846e-06
131,44,1,1,14000000.0,20000000.0,neutron,total,flux,1.3022900721290186e-06,6.595850833090989e-07
132,45,1,1,1.0,10000000.0,neutron,total,flux,0.001569667257979761,3.759411105326057e-05
133,45,1,1,10000000.0,14000000.0,neutron,total,flux,2.593578583747599e-05,2.7306463796338847e-06
134,45,1,1,14000000.0,20000000.0,neutron,total,flux,1.2647714592916456e-06,6.617469077241245e-07
135,46,1,1,1.0,10000000.0,neutron,total,flux,0.0013591959140965583,3.793506964573033e-05
136,46,1,1,10000000.0,14000000.0,neutron,total,flux,2.0450993771537895e-05,2.415718588657033e-06
137,46,1,1,14000000.0,20000000.0,neutron,total,flux,8.843242575921238e-07,6.48208428333926e-07
138,47,1,1,1.0,10000000.0,neutron,total,flux,0.0011344270325657326,3.089197684135779e-05
139,47,1,1,10000000.0,14000000.0,neutron,total,flux,1.4992805741608794e-05,1.7606359481008326e-06
140,47,1,1,14000000.0,20000000.0,neutron,total,flux,6.541812686056573e-07,6.541812686056573e-07
141,48,1,1,1.0,10000000.0,neutron,total,flux,0.0009333347341399683,4.0625514278168355e-05
142,48,1,1,10000000.0,14000000.0,neutron,total,flux,1.2333633810406782e-05,2.0608830440080603e-06
143,48,1,1,14000000.0,20000000.0,neutron,total,flux,6.538240671414767e-07,6.538240671414767e-07
144,49,1,1,1.0,10000000.0,neutron,total,flux,0.0007893290195108933,3.571892548187328e-05
145,49,1,1,10000000.0,14000000.0,neutron,total,flux,9.943153628508602e-06,1.3494951748952556e-06
146,49,1,1,14000000.0,20000000.0,neutron,total,flux,6.5347108763724e-07,6.5347108763724e-07
147,50,1,1,1.0,10000000.0,neutron,total,flux,0.0007018146075407734,3.0458637367098514e-05
148,50,1,1,10000000.0,14000000.0,neutron,total,flux,7.633553495127548e-06,1.1933912305098025e-06
149,50,1,1,14000000.0,20000000.0,neutron,total,flux,6.531222613781095e-07,6.531222613781095e-07
150,51,1,1,1.0,10000000.0,neutron,total,flux,0.000592328547804448,2.175856618284031e-05
151,51,1,1,10000000.0,14000000.0,neutron,total,flux,9.085743658863239e-06,2.0128505237773704e-06
152,51,1,1,14000000.0,20000000.0,neutron,total,flux,5.401157424323913e-07,5.401157424323913e-07
153,52,1,1,1.0,10000000.0,neutron,total,flux,0.0004856397153571862,2.5133838445076038e-05
154,52,1,1,10000000.0,14000000.0,neutron,total,flux,7.185871897079184e-06,1.3104671118440948e-06
155,52,1,1,14000000.0,20000000.0,neutron,total,flux,7.011539073209283e-08,7.011539073209283e-08
156,53,1,1,1.0,10000000.0,neutron,total,flux,0.0004144298186308752,2.6340952237642733e-05
157,53,1,1,10000000.0,14000000.0,neutron,total,flux,8.17362506011387e-06,1.7902258907362956e-06
158,53,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
159,54,1,1,1.0,10000000.0,neutron,total,flux,0.00034838730201272974,1.5738412621381457e-05
160,54,1,1,10000000.0,14000000.0,neutron,total,flux,3.705666376636048e-06,1.2819497249997336e-06
161,54,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
162,55,1,1,1.0,10000000.0,neutron,total,flux,0.00028390996537695296,2.451478207205219e-05
163,55,1,1,10000000.0,14000000.0,neutron,total,flux,3.099485233180581e-06,7.245125986990781e-07
164,55,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
