mesh 1,mesh 1,mesh 1,nuclide,score,mean,std. dev.
x,y,z,,,,
74,1,1,total,heating-local,0.0,0.0
74,1,1,total,absorption,0.0,0.0
75,1,1,total,flux,2.0636748474001762e-06,1.2699137625400844e-06
75,1,1,total,"(n,Xt)",0.0,0.0
75,1,1,total,heating-local,0.0,0.0
75,1,1,total,absorption,4.1908234376570985e-08,3.9505220394056376e-08
76,1,1,total,flux,3.5525251665170144e-06,1.8344241033321943e-06
76,1,1,total,"(n,Xt)",0.0,0.0
76,1,1,total,heating-local,0.0,0.0
76,1,1,total,absorption,7.087022997765442e-08,5.207255063325956e-08
77,1,1,total,flux,3.532453817868522e-06,1.8219925993636277e-06
77,1,1,total,"(n,Xt)",0.0,0.0
77,1,1,total,heating-local,0.0,0.0
77,1,1,total,absorption,7.053547812949601e-08,5.1929198639082367e-08
78,1,1,total,flux,3.513782956265905e-06,1.8105193741319932e-06
78,1,1,total,"(n,Xt)",0.0,0.0
78,1,1,total,heating-local,0.0,0.0
78,1,1,total,absorption,7.022297755606985e-08,5.1795101923560294e-08
79,1,1,total,flux,3.4963693950654843e-06,1.7998980050132613e-06
79,1,1,total,"(n,Xt)",0.0,0.0
79,1,1,total,heating-local,0.0,0.0
79,1,1,total,absorption,6.993053240887117e-08,5.166933388387097e-08
80,1,1,total,flux,3.480089318461893e-06,1.7900373982695739e-06
80,1,1,total,"(n,Xt)",0.0,0.0
80,1,1,total,heating-local,0.0,0.0
80,1,1,total,absorption,6.965623742327659e-08,5.1551096221173975e-08
81,1,1,total,flux,3.4648350453467637e-06,1.7808591075091464e-06
81,1,1,total,"(n,Xt)",0.0,0.0
81,1,1,total,heating-local,0.0,0.0
81,1,1,total,absorption,6.939842997533782e-08,5.1439696515331733e-08
82,1,1,total,flux,3.6601888399774383e-06,1.7390280836898437e-06
82,1,1,total,"(n,Xt)",0.0,0.0
82,1,1,total,heating-local,0.0,0.0
82,1,1,total,absorption,8.072530439648868e-08,5.090470856955326e-08
83,1,1,total,flux,6.992228956845888e-06,2.4091912288489003e-06
83,1,1,total,"(n,Xt)",0.0,0.0
83,1,1,total,heating-local,0.0,0.0
83,1,1,total,absorption,2.1529334416362453e-07,9.95886470144737e-08
84,1,1,total,flux,7.441093531251411e-06,2.640173170650024e-06
84,1,1,total,"(n,Xt)",0.0,0.0
84,1,1,total,heating-local,0.0,0.0
84,1,1,total,absorption,2.456447314601166e-07,1.1914160566046071e-07
85,1,1,total,flux,6.873888286364335e-06,2.6201122792708946e-06
85,1,1,total,"(n,Xt)",0.0,0.0
85,1,1,total,heating-local,0.0,0.0
85,1,1,total,absorption,2.1931328713281107e-07,1.1567731351478658e-07
86,1,1,total,flux,6.3550378308616895e-06,2.7000563719180075e-06
86,1,1,total,"(n,Xt)",0.0,0.0
86,1,1,total,heating-local,0.0,0.0
86,1,1,total,absorption,1.952410703357298e-07,1.1750340218324624e-07
87,1,1,total,flux,6.338526561694635e-06,2.694202324590269e-06
87,1,1,total,"(n,Xt)",0.0,0.0
87,1,1,total,heating-local,0.0,0.0
87,1,1,total,absorption,1.9487150708670394e-07,1.1732871402400773e-07
88,1,1,total,flux,6.322811579231954e-06,2.6886385116290867e-06
88,1,1,total,"(n,Xt)",0.0,0.0
88,1,1,total,heating-local,0.0,0.0
88,1,1,total,absorption,1.9451859068823687e-07,1.1716118159865457e-07
89,1,1,total,flux,6.3078377854267845e-06,2.6833439803091523e-06
89,1,1,total,"(n,Xt)",0.0,0.0
89,1,1,total,heating-local,0.0,0.0
89,1,1,total,absorption,1.9418125069200124e-07,1.1700040038510812e-07
90,1,1,total,flux,6.293555144642213e-06,2.6782998094998175e-06
90,1,1,total,"(n,Xt)",0.0,0.0
90,1,1,total,heating-local,0.0,0.0
90,1,1,total,absorption,1.938585084052495e-07,1.16845995493689e-07
91,1,1,total,flux,6.279918099664315e-06,2.6734888608910627e-06
91,1,1,total,"(n,Xt)",0.0,0.0
91,1,1,total,heating-local,0.0,0.0
91,1,1,total,absorption,1.9354946691563804e-07,1.1669761895708511e-07
92,1,1,total,flux,6.2668850687571066e-06,2.668895566894066e-06
92,1,1,total,"(n,Xt)",0.0,0.0
92,1,1,total,heating-local,0.0,0.0
92,1,1,total,absorption,1.9325330243714545e-07,1.1655494732267051e-07
93,1,1,total,flux,5.198865644877672e-06,2.6059582958683576e-06
93,1,1,total,"(n,Xt)",0.0,0.0
93,1,1,total,heating-local,0.0,0.0
93,1,1,total,absorption,1.775511213202227e-07,1.1762394210622284e-07
94,1,1,total,flux,5.0169233923841145e-06,2.634687327595837e-06
94,1,1,total,"(n,Xt)",0.0,0.0
94,1,1,total,heating-local,0.0,0.0
94,1,1,total,absorption,1.7479526461195222e-07,1.1788645595006373e-07
95,1,1,total,flux,5.011619662604233e-06,2.6319046319968452e-06
95,1,1,total,"(n,Xt)",0.0,0.0
95,1,1,total,heating-local,0.0,0.0
95,1,1,total,absorption,1.7462299774355475e-07,1.1775681715604098e-07
96,1,1,total,flux,5.006506845739495e-06,2.6292230194138268e-06
96,1,1,total,"(n,Xt)",0.0,0.0
96,1,1,total,heating-local,0.0,0.0
96,1,1,total,absorption,1.744568366300435e-07,1.1763184771097596e-07
97,1,1,total,flux,5.001575582909524e-06,2.6266374812319065e-06
97,1,1,total,"(n,Xt)",0.0,0.0
97,1,1,total,heating-local,0.0,0.0
97,1,1,total,absorption,1.742964876865329e-07,1.1751131901076206e-07
98,1,1,total,flux,3.993913230206004e-06,2.393131519009818e-06
98,1,1,total,"(n,Xt)",0.0,0.0
98,1,1,total,heating-local,0.0,0.0
98,1,1,total,absorption,1.7414167523209797e-07,1.1739501665892488e-07
99,1,1,total,flux,3.523722094777924e-06,2.422171314425026e-06
99,1,1,total,"(n,Xt)",0.0,0.0
99,1,1,total,heating-local,0.0,0.0
99,1,1,total,absorption,1.739921401644062e-07,1.172827393947829e-07
100,1,1,total,flux,3.5217454198808162e-06,2.4206159199139303e-06
100,1,1,total,"(n,Xt)",0.0,0.0
100,1,1,total,heating-local,0.0,0.0
100,1,1,total,absorption,1.7384763874980563e-07,1.171742981166983e-07
101,1,1,total,flux,3.519833410869254e-06,2.4191118573744364e-06
101,1,1,total,"(n,Xt)",0.0,0.0
101,1,1,total,heating-local,0.0,0.0
101,1,1,total,absorption,1.7370794151723144e-07,1.1706951499067646e-07
102,1,1,total,flux,3.5179832096511638e-06,2.4176568348554517e-06
102,1,1,total,"(n,Xt)",0.0,0.0
102,1,1,total,heating-local,0.0,0.0
102,1,1,total,absorption,1.7357283224578777e-07,1.1696822263581541e-07
103,1,1,total,flux,3.5161921179391135e-06,2.4162486899835575e-06
103,1,1,total,"(n,Xt)",0.0,0.0
103,1,1,total,heating-local,0.0,0.0
103,1,1,total,absorption,1.73442107036876e-07,1.1687026337899535e-07
104,1,1,total,flux,2.9223334161822765e-06,2.202005364589316e-06
104,1,1,total,"(n,Xt)",0.0,0.0
104,1,1,total,heating-local,0.0,0.0
104,1,1,total,absorption,1.4064298466861763e-07,1.0244242263261879e-07
105,1,1,total,flux,2.148131401179697e-06,2.148131401179697e-06
105,1,1,total,"(n,Xt)",0.0,0.0
105,1,1,total,heating-local,0.0,0.0
105,1,1,total,absorption,9.789379089291502e-08,9.789379089291502e-08
106,1,1,total,flux,2.146690592694384e-06,2.146690592694384e-06
106,1,1,total,"(n,Xt)",0.0,0.0
106,1,1,total,heating-local,0.0,0.0
106,1,1,total,absorption,9.778546257402344e-08,9.778546257402345e-08
107,1,1,total,flux,2.1452941574759735e-06,2.1452941574759735e-06
107,1,1,total,"(n,Xt)",0.0,0.0
107,1,1,total,heating-local,0.0,0.0
107,1,1,total,absorption,9.768051543106491e-08,9.768051543106491e-08
108,1,1,total,flux,2.143940250985736e-06,2.143940250985736e-06
108,1,1,total,"(n,Xt)",0.0,0.0
108,1,1,total,heating-local,0.0,0.0
108,1,1,total,absorption,9.757880679168028e-08,9.75788067916803e-08
109,1,1,total,flux,2.142627125565554e-06,2.142627125565554e-06
109,1,1,total,"(n,Xt)",0.0,0.0
109,1,1,total,heating-local,0.0,0.0
109,1,1,total,absorption,9.7480201595743e-08,9.7480201595743e-08
110,1,1,total,flux,2.1413531242755544e-06,2.141353124275554e-06
110,1,1,total,"(n,Xt)",0.0,0.0
110,1,1,total,heating-local,0.0,0.0
110,1,1,total,absorption,9.738457190354627e-08,9.738457190354627e-08
111,1,1,total,flux,2.1401166751935962e-06,2.1401166751935962e-06
111,1,1,total,"(n,Xt)",0.0,0.0
111,1,1,total,heating-local,0.0,0.0
111,1,1,total,absorption,9.729179644134105e-08,9.729179644134105e-08
112,1,1,total,flux,2.138916286134972e-06,2.138916286134972e-06
112,1,1,total,"(n,Xt)",0.0,0.0
112,1,1,total,heating-local,0.0,0.0
112,1,1,total,absorption,9.720176018092432e-08,9.720176018092432e-08
113,1,1,total,flux,1.6059132153313058e-06,1.605913215331306e-06
113,1,1,total,"(n,Xt)",0.0,0.0
113,1,1,total,heating-local,0.0,0.0
113,1,1,total,absorption,4.930491963209601e-08,4.930491963209601e-08
114,1,1,total,flux,7.757686954242831e-06,6.666286899507847e-06
114,1,1,total,"(n,Xt)",0.0,0.0
114,1,1,total,heating-local,0.0,0.0
114,1,1,total,absorption,2.665714442836368e-07,2.665714442836368e-07
115,1,1,total,flux,7.090585389864092e-06,6.008612331664028e-06
115,1,1,total,"(n,Xt)",0.0,0.0
115,1,1,total,heating-local,0.0,0.0
115,1,1,total,absorption,2.400386330511036e-07,2.4003863305110355e-07
116,1,1,total,flux,5.841949859708354e-06,4.784346688083092e-06
116,1,1,total,"(n,Xt)",0.0,0.0
116,1,1,total,heating-local,0.0,0.0
116,1,1,total,absorption,1.9036976704216742e-07,1.9036976704216745e-07
117,1,1,total,flux,4.3617739255150685e-06,3.3727654776196433e-06
117,1,1,total,"(n,Xt)",0.0,0.0
117,1,1,total,heating-local,0.0,0.0
117,1,1,total,absorption,1.3236908565569302e-07,1.3236908565569302e-07
118,1,1,total,flux,0.0,0.0
118,1,1,total,"(n,Xt)",0.0,0.0
118,1,1,total,heating-local,0.0,0.0
118,1,1,total,absorption,0.0,0.0
119,1,1,total,flux,0.0,0.0
119,1,1,total,"(n,Xt)",0.0,0.0
119,1,1,total,heating-local,0.0,0.0
119,1,1,total,absorption,0.0,0.0
120,1,1,total,flux,0.0,0.0
120,1,1,total,"(n,Xt)",0.0,0.0
120,1,1,total,heating-local,0.0,0.0
120,1,1,total,absorption,0.0,0.0
121,1,1,total,flux,0.0,0.0
121,1,1,total,"(n,Xt)",0.0,0.0
121,1,1,total,heating-local,0.0,0.0
121,1,1,total,absorption,0.0,0.0
122,1,1,total,flux,0.0,0.0
122,1,1,total,"(n,Xt)",0.0,0.0
122,1,1,total,heating-local,0.0,0.0
122,1,1,total,absorption,0.0,0.0
123,1,1,total,flux,1.682194181191477e-06,1.682194181191477e-06
123,1,1,total,"(n,Xt)",0.0,0.0
123,1,1,total,heating-local,0.0,0.0
123,1,1,total,absorption,0.0,0.0
124,1,1,total,flux,3.041149707837235e-06,3.041149707837235e-06
124,1,1,total,"(n,Xt)",0.0,0.0
124,1,1,total,heating-local,0.0,0.0
124,1,1,total,absorption,0.0,0.0
125,1,1,total,flux,3.2234301224367176e-06,2.8678013153995934e-06
125,1,1,total,"(n,Xt)",0.0,0.0
125,1,1,total,heating-local,0.0,0.0
125,1,1,total,absorption,6.1343557867106335e-09,6.1343557867106335e-09
126,1,1,total,flux,3.960235286696048e-06,2.8816394821178324e-06
126,1,1,total,"(n,Xt)",0.0,0.0
126,1,1,total,heating-local,0.0,0.0
126,1,1,total,absorption,2.1890672954799052e-08,2.1890672954799052e-08
127,1,1,total,flux,4.796188473508018e-06,3.2181917305087244e-06
127,1,1,total,"(n,Xt)",0.0,0.0
127,1,1,total,heating-local,0.0,0.0
127,1,1,total,absorption,2.181550443790658e-08,2.181550443790658e-08
128,1,1,total,flux,4.974331530564314e-06,3.3173651318257797e-06
128,1,1,total,"(n,Xt)",0.0,0.0
