mesh 2,mesh 2,mesh 2,nuclide,score,mean,std. dev.
73,1,1,total,"(n,Xt)",0.0,0.0
73,1,1,total,heating-local,0.0,0.0
73,1,1,total,absorption,0.0,0.0
74,1,1,total,flux,1.1787740268115586e-06,1.06527690236226e-06
74,1,1,total,"(n,Xt)",0.0,0.0
74,1,1,total,heating-local,0.0,0.0
74,1,1,total,absorption,0.0,0.0
75,1,1,total,flux,1.576194685579489e-06,1.132352060528323e-06
75,1,1,total,"(n,Xt)",0.0,0.0
75,1,1,total,heating-local,0.0,0.0
75,1,1,total,absorption,7.10840623419099e-10,7.108406234190991e-10
76,1,1,total,flux,2.085899589180357e-06,1.3912057940385777e-06
76,1,1,total,"(n,Xt)",0.0,0.0
76,1,1,total,heating-local,0.0,0.0
76,1,1,total,absorption,1.4291776683153007e-09,1.4291776683153005e-09
77,1,1,total,flux,2.0851000832509214e-06,1.3906627548726092e-06
77,1,1,total,"(n,Xt)",0.0,0.0
77,1,1,total,heating-local,0.0,0.0
77,1,1,total,absorption,1.4289447554445643e-09,1.4289447554445645e-09
78,1,1,total,flux,2.08433246519823e-06,1.3901414566787928e-06
78,1,1,total,"(n,Xt)",0.0,0.0
78,1,1,total,heating-local,0.0,0.0
78,1,1,total,absorption,1.428720908133809e-09,1.4287209081338087e-09
79,1,1,total,flux,2.0835950469592604e-06,1.389640743235789e-06
79,1,1,total,"(n,Xt)",0.0,0.0
79,1,1,total,heating-local,0.0,0.0
79,1,1,total,absorption,1.4285056606224668e-09,1.4285056606224668e-09
80,1,1,total,flux,2.0828862516331027e-06,1.389159534869361e-06
80,1,1,total,"(n,Xt)",0.0,0.0
80,1,1,total,heating-local,0.0,0.0
80,1,1,total,absorption,1.428298576763112e-09,1.428298576763112e-09
81,1,1,total,flux,2.0822046047416476e-06,1.3886968223982527e-06
81,1,1,total,"(n,Xt)",0.0,0.0
81,1,1,total,heating-local,0.0,0.0
81,1,1,total,absorption,1.4280992477843963e-09,1.4280992477843966e-09
82,1,1,total,flux,2.081548726288262e-06,1.3882516616364834e-06
82,1,1,total,"(n,Xt)",0.0,0.0
82,1,1,total,heating-local,0.0,0.0
82,1,1,total,absorption,1.4279072902496247e-09,1.4279072902496247e-09
83,1,1,total,flux,3.514143984064156e-06,2.5589355955264634e-06
83,1,1,total,"(n,Xt)",0.0,0.0
83,1,1,total,heating-local,0.0,0.0
83,1,1,total,absorption,1.427722344190645e-09,1.427722344190645e-09
84,1,1,total,flux,3.59836359577487e-06,2.636118977193998e-06
84,1,1,total,"(n,Xt)",0.0,0.0
84,1,1,total,heating-local,0.0,0.0
84,1,1,total,absorption,1.4275440714010816e-09,1.4275440714010816e-09
85,1,1,total,flux,3.5933654520031406e-06,2.6318293022050948e-06
85,1,1,total,"(n,Xt)",0.0,0.0
85,1,1,total,heating-local,0.0,0.0
85,1,1,total,absorption,1.4273721538723917e-09,1.4273721538723917e-09
86,1,1,total,flux,3.588578560540838e-06,2.6277233730971117e-06
86,1,1,total,"(n,Xt)",0.0,0.0
86,1,1,total,heating-local,0.0,0.0
86,1,1,total,absorption,1.427206292360727e-09,1.427206292360727e-09
87,1,1,total,flux,3.5839906538828643e-06,2.6237903685847407e-06
87,1,1,total,"(n,Xt)",0.0,0.0
87,1,1,total,heating-local,0.0,0.0
87,1,1,total,absorption,1.4270462050700609e-09,1.4270462050700609e-09
88,1,1,total,flux,3.579590376981287e-06,2.620020283361373e-06
88,1,1,total,"(n,Xt)",0.0,0.0
88,1,1,total,heating-local,0.0,0.0
88,1,1,total,absorption,1.4268916264430856e-09,1.4268916264430854e-09
89,1,1,total,flux,5.001722890233665e-06,2.7833043172102704e-06
89,1,1,total,"(n,Xt)",0.0,0.0
89,1,1,total,heating-local,0.0,0.0
89,1,1,total,absorption,6.67394101416063e-08,6.516956759784239e-08
90,1,1,total,flux,5.53964017097401e-06,3.023180446907494e-06
90,1,1,total,"(n,Xt)",0.0,0.0
90,1,1,total,heating-local,0.0,0.0
90,1,1,total,absorption,9.155615455197605e-08,8.998221553380006e-08
91,1,1,total,flux,5.4826681157154266e-06,2.993303793328738e-06
91,1,1,total,"(n,Xt)",0.0,0.0
91,1,1,total,heating-local,0.0,0.0
91,1,1,total,absorption,8.91257409907806e-08,8.755226477931704e-08
92,1,1,total,flux,5.431461205205792e-06,2.9669498437708898e-06
92,1,1,total,"(n,Xt)",0.0,0.0
92,1,1,total,heating-local,0.0,0.0
92,1,1,total,absorption,8.695245792514957e-08,8.53794215278371e-08
93,1,1,total,flux,5.385133780108063e-06,2.943512442324414e-06
93,1,1,total,"(n,Xt)",0.0,0.0
93,1,1,total,heating-local,0.0,0.0
93,1,1,total,absorption,8.499611148619954e-08,8.342349385041725e-08
94,1,1,total,flux,5.34297947936686e-06,2.9225182222615894e-06
94,1,1,total,"(n,Xt)",0.0,0.0
94,1,1,total,heating-local,0.0,0.0
94,1,1,total,absorption,8.322469366346368e-08,8.165247541986322e-08
95,1,1,total,flux,5.304427106581229e-06,2.903592055806582e-06
95,1,1,total,"(n,Xt)",0.0,0.0
95,1,1,total,heating-local,0.0,0.0
95,1,1,total,absorption,8.16123634121804e-08,8.00405266653661e-08
96,1,1,total,flux,5.269009085301433e-06,2.8864327627797888e-06
96,1,1,total,"(n,Xt)",0.0,0.0
96,1,1,total,heating-local,0.0,0.0
96,1,1,total,absorption,8.013800401433063e-08,7.856653216988298e-08
97,1,1,total,flux,5.227997158110639e-06,2.864466223850713e-06
97,1,1,total,"(n,Xt)",0.0,0.0
97,1,1,total,heating-local,0.0,0.0
97,1,1,total,absorption,7.878417198730855e-08,7.721304960716511e-08
98,1,1,total,flux,3.735880925999552e-06,1.9772095480592934e-06
98,1,1,total,"(n,Xt)",0.0,0.0
98,1,1,total,heating-local,0.0,0.0
98,1,1,total,absorption,7.753631792398057e-08,7.596553060426672e-08
99,1,1,total,flux,3.710314120886167e-06,1.958896358730643e-06
99,1,1,total,"(n,Xt)",0.0,0.0
99,1,1,total,heating-local,0.0,0.0
99,1,1,total,absorption,7.638219990954855e-08,7.481173417641402e-08
100,1,1,total,flux,3.6865787749511586e-06,1.9420371129042917e-06
100,1,1,total,"(n,Xt)",0.0,0.0
100,1,1,total,heating-local,0.0,0.0
100,1,1,total,absorption,7.531143572451775e-08,7.374127894458491e-08
101,1,1,total,flux,2.338888394549826e-06,1.3633699288520755e-06
101,1,1,total,"(n,Xt)",0.0,0.0
101,1,1,total,heating-local,0.0,0.0
101,1,1,total,absorption,1.361643032302903e-08,1.211586281432081e-08
102,1,1,total,flux,2.072315103494574e-06,1.3819907632886658e-06
102,1,1,total,"(n,Xt)",0.0,0.0
102,1,1,total,heating-local,0.0,0.0
102,1,1,total,absorption,1.4251877539742555e-09,1.4251877539742555e-09
103,1,1,total,flux,2.0719926577020545e-06,1.3817723354308844e-06
103,1,1,total,"(n,Xt)",0.0,0.0
103,1,1,total,heating-local,0.0,0.0
103,1,1,total,absorption,1.4250922063499971e-09,1.425092206349997e-09
104,1,1,total,flux,2.071679701816009e-06,1.3815603494903737e-06
104,1,1,total,"(n,Xt)",0.0,0.0
104,1,1,total,heating-local,0.0,0.0
104,1,1,total,absorption,1.424999433300163e-09,1.4249994333001633e-09
105,1,1,total,flux,2.0713758652669295e-06,1.3813545532760733e-06
105,1,1,total,"(n,Xt)",0.0,0.0
105,1,1,total,heating-local,0.0,0.0
105,1,1,total,absorption,1.4249093282577247e-09,1.4249093282577247e-09
106,1,1,total,flux,2.071080795482885e-06,1.3811547068818871e-06
106,1,1,total,"(n,Xt)",0.0,0.0
106,1,1,total,heating-local,0.0,0.0
106,1,1,total,absorption,1.424821789731165e-09,1.424821789731165e-09
107,1,1,total,flux,2.070794156846034e-06,1.380960581971975e-06
107,1,1,total,"(n,Xt)",0.0,0.0
107,1,1,total,heating-local,0.0,0.0
107,1,1,total,absorption,1.424736721016832e-09,1.4247367210168323e-09
108,1,1,total,flux,2.0705156297190824e-06,1.38077196111414e-06
108,1,1,total,"(n,Xt)",0.0,0.0
108,1,1,total,heating-local,0.0,0.0
108,1,1,total,absorption,1.4246540299299595e-09,1.4246540299299595e-09
109,1,1,total,flux,2.0702449095370666e-06,1.3805886371581077e-06
109,1,1,total,"(n,Xt)",0.0,0.0
109,1,1,total,heating-local,0.0,0.0
109,1,1,total,absorption,1.424573628553302e-09,1.4245736285533023e-09
110,1,1,total,flux,2.0699817059586106e-06,1.3804104126546703e-06
110,1,1,total,"(n,Xt)",0.0,0.0
110,1,1,total,heating-local,0.0,0.0
110,1,1,total,absorption,1.4244954330018574e-09,1.4244954330018574e-09
111,1,1,total,flux,2.0697257420727905e-06,1.3802370993130233e-06
111,1,1,total,"(n,Xt)",0.0,0.0
111,1,1,total,heating-local,0.0,0.0
111,1,1,total,absorption,1.4244193632026464e-09,1.4244193632026466e-09
112,1,1,total,flux,2.0694767536575255e-06,1.3800685174934784e-06
112,1,1,total,"(n,Xt)",0.0,0.0
112,1,1,total,heating-local,0.0,0.0
112,1,1,total,absorption,1.4243453426884767e-09,1.4243453426884769e-09
113,1,1,total,flux,2.069234488485307e-06,1.379904495732672e-06
113,1,1,total,"(n,Xt)",0.0,0.0
113,1,1,total,heating-local,0.0,0.0
113,1,1,total,absorption,1.4242732984045654e-09,1.4242732984045652e-09
114,1,1,total,flux,2.068998705672797e-06,1.3797448702988826e-06
114,1,1,total,"(n,Xt)",0.0,0.0
114,1,1,total,heating-local,0.0,0.0
114,1,1,total,absorption,1.4242031605269632e-09,1.4242031605269632e-09
115,1,1,total,flux,2.0687691750721906e-06,1.3795894847759765e-06
115,1,1,total,"(n,Xt)",0.0,0.0
115,1,1,total,heating-local,0.0,0.0
115,1,1,total,absorption,1.424134862292842e-09,1.424134862292842e-09
116,1,1,total,flux,2.0685456766992302e-06,1.3794381896725232e-06
116,1,1,total,"(n,Xt)",0.0,0.0
116,1,1,total,heating-local,0.0,0.0
116,1,1,total,absorption,1.4240683398400593e-09,1.4240683398400593e-09
117,1,1,total,flux,2.0683280001978797e-06,1.379290842056013e-06
117,1,1,total,"(n,Xt)",0.0,0.0
117,1,1,total,heating-local,0.0,0.0
117,1,1,total,absorption,1.4240035320575463e-09,1.4240035320575465e-09
118,1,1,total,flux,1.2326520978523515e-06,1.0112639083938546e-06
118,1,1,total,"(n,Xt)",0.0,0.0
118,1,1,total,heating-local,0.0,0.0
118,1,1,total,absorption,1.4239403804438353e-09,1.4239403804438355e-09
119,1,1,total,flux,1.0116408546170984e-06,1.0116408546170984e-06
119,1,1,total,"(n,Xt)",0.0,0.0
119,1,1,total,heating-local,0.0,0.0
119,1,1,total,absorption,1.42387882897435e-09,1.42387882897435e-09
120,1,1,total,flux,1.0115982221219891e-06,1.0115982221219891e-06
120,1,1,total,"(n,Xt)",0.0,0.0
120,1,1,total,heating-local,0.0,0.0
120,1,1,total,absorption,1.4238188239765927e-09,1.4238188239765927e-09
121,1,1,total,flux,1.011556651821905e-06,1.011556651821905e-06
121,1,1,total,"(n,Xt)",0.0,0.0
121,1,1,total,heating-local,0.0,0.0
121,1,1,total,absorption,1.423760314012376e-09,1.423760314012376e-09
122,1,1,total,flux,1.0115161086795578e-06,1.0115161086795578e-06
122,1,1,total,"(n,Xt)",0.0,0.0
122,1,1,total,heating-local,0.0,0.0
122,1,1,total,absorption,1.4237032497669129e-09,1.4237032497669129e-09
123,1,1,total,flux,2.420723068298358e-06,1.6408231457152721e-06
123,1,1,total,"(n,Xt)",0.0,0.0
123,1,1,total,heating-local,0.0,0.0
123,1,1,total,absorption,1.4236475839446874e-09,1.4236475839446874e-09
124,1,1,total,flux,4.06438786632235e-06,3.107622342360668e-06
124,1,1,total,"(n,Xt)",0.0,0.0
124,1,1,total,heating-local,0.0,0.0
124,1,1,total,absorption,1.4235932711706464e-09,1.4235932711706466e-09
125,1,1,total,flux,4.896173566771233e-06,2.979255848216339e-06
125,1,1,total,"(n,Xt)",0.0,0.0
125,1,1,total,heating-local,0.0,0.0
125,1,1,total,absorption,3.8665843112270256e-08,3.711110713771175e-08
126,1,1,total,flux,5.025440713925733e-06,2.9244895475604156e-06
126,1,1,total,"(n,Xt)",0.0,0.0
126,1,1,total,heating-local,0.0,0.0
126,1,1,total,absorption,4.851480971366743e-08,4.69544717318028e-08
127,1,1,total,flux,3.881092140312462e-06,2.7320263660898435e-06
127,1,1,total,"(n,Xt)",0.0,0.0
127,1,1,total,heating-local,0.0,0.0
127,1,1,total,absorption,4.1095372373015864e-08,4.086942554121116e-08
128,1,1,total,flux,2.5520830425616622e-06,2.5520830425616627e-06
128,1,1,total,"(n,Xt)",0.0,0.0
128,1,1,total,heating-local,0.0,0.0
128,1,1,total,absorption,0.0,0.0
129,1,1,total,flux,8.785690139085606e-07,8.785690139085606e-07
129,1,1,total,"(n,Xt)",0.0,0.0
129,1,1,total,heating-local,0.0,0.0
129,1,1,total,absorption,0.0,0.0
130,1,1,total,flux,0.0,0.0
130,1,1,total,"(n,Xt)",0.0,0.0
130,1,1,total,heating-local,0.0,0.0
130,1,1,total,absorption,0.0,0.0
131,1,1,total,flux,1.6408454926295947e-08,1.640845492629595e-08
131,1,1,total,"(n,Xt)",0.0,0.0
131,1,1,total,heating-local,0.0,0.0
131,1,1,total,absorption,0.0,0.0
132,1,1,total,flux,1.3564833862319006e-06,1.3564833862319006e-06
132,1,1,total,"(n,Xt)",0.0,0.0
132,1,1,total,heating-local,0.0,0.0
132,1,1,total,absorption,0.0,0.0
133,1,1,total,flux,1.3558425986655607e-06,1.3558425986655607e-06
133,1,1,total,"(n,Xt)",0.0,0.0
133,1,1,total,heating-local,0.0,0.0
133,1,1,total,absorption,0.0,0.0
134,1,1,total,flux,1.355217034163701e-06,1.3552170341637009e-06
134,1,1,total,"(n,Xt)",0.0,0.0
134,1,1,total,heating-local,0.0,0.0
134,1,1,total,absorption,0.0,0.0
135,1,1,total,flux,3.152056663107402e-06,2.814377431345641e-06
135,1,1,total,"(n,Xt)",0.0,0.0
135,1,1,total,heating-local,0.0,0.0
135,1,1,total,absorption,2.5177286369277278e-08,2.5177286369277278e-08
136,1,1,total,flux,5.645495919886713e-06,3.934520339275359e-06
136,1,1,total,"(n,Xt)",0.0,0.0
136,1,1,total,heating-local,0.0,0.0
136,1,1,total,absorption,3.8142960745635824e-08,3.814296074563582e-08
137,1,1,total,flux,5.584542945687559e-06,3.897574291528402e-06
137,1,1,total,"(n,Xt)",0.0,0.0
137,1,1,total,heating-local,0.0,0.0
137,1,1,total,absorption,3.770734359949945e-08,3.770734359949945e-08
138,1,1,total,flux,6.209115580192438e-06,3.814374537749178e-06
138,1,1,total,"(n,Xt)",0.0,0.0
138,1,1,total,heating-local,0.0,0.0
